popularity,vote_count,id,genre_ids,title,vote_average,release_date
9.083,105,14745,"[18, 27]",The Haunting of Molly Hartley,4.3,2008-10-31
9.082,250,9692,[18],The Woodsman,6.9,2004-12-24
9.079,56,37178,[878],Virtuality,5.2,2009-06-26
9.077,59,256687,"[28, 18, 53]",Swelter,5.2,2014-04-20
9.076,59,299576,"[18, 10749, 35, 10770]",The Nine Lives of Christmas,6.6,2014-11-08
9.076,87,15624,"[18, 10749]",Conversations with Other Women,6.2,2006-06-07
9.073,56,81033,"[18, 14, 10751]",The Good Witch's Family,7.3,2011-10-29
9.072,35,44809,"[27, 878]",Dinocroc vs. Supergator,4.9,2010-06-26
9.072,113,38150,"[18, 27, 53]",Heartless,6.0,2009-11-21
9.072,55,13194,"[28, 16, 14, 878]",Highlander: The Search for Vengeance,6.8,2007-06-05
9.071,331,291351,[18],The Sea of Trees,6.3,2016-04-27
9.069,33,277610,"[18, 27, 53]",Eat,5.2,2014-07-06
9.066,46,35978,"[14, 27, 10770]",Pumpkinhead: Ashes to Ashes,4.8,2006-10-28
9.066,52,33570,[18],Ice Castles,6.4,2010-02-09
9.064,40,505060,"[27, 53]",The Gallows Act II,4.2,2019-10-25
9.061,53,29595,[99],Wal-Mart: The High Cost of Low Price,6.3,2005-11-04
9.06,40,73963,[27],Creature,5.0,2011-09-09
9.06,92,38087,"[35, 53, 9648]",Mystery Team,6.4,2009-08-28
9.06,536,6418,"[18, 10749]",Hotel Chevalier,7.0,2007-09-03
9.059,75,29076,"[28, 35, 53, 10749]",Gun Shy,5.4,2000-02-04
9.057,98,1282,[99],Dogtown and Z-Boys,7.2,2001-01-18
9.056,63,448444,[99],The Death and Life of Marsha P. Johnson,7.5,2017-07-27
9.056,66,15314,"[35, 80, 18]",Mini's First Time,5.7,2006-07-14
9.056,88,13058,"[80, 18]",Adulthood,6.1,2008-06-16
9.054,152,317190,"[878, 10770]",Doctor Who: The Next Doctor,7.4,2008-12-25
9.054,421,1116,"[18, 10752]",The Wind That Shakes the Barley,7.4,2006-03-24
9.053,73,429742,[27],Still/Born,5.5,2018-02-09
9.053,35,376003,"[28, 12, 18]",Mercury Plains,4.7,2016-01-05
9.052,154,24477,"[35, 10751]",Beethoven's 5th,5.1,2003-12-02
9.052,377,11162,"[18, 10749]",The Merchant of Venice,6.8,2004-12-03
9.05,73,92208,"[10770, 35, 10751, 14]",Mom's Got a Date with a Vampire,5.6,2000-10-13
9.048,85,19197,"[27, 53]",Mum & Dad,5.9,2008-08-22
9.047,55,32526,"[80, 18, 10749, 10770]",Soldier's Girl,7.3,2003-05-10
9.046,270,244539,"[35, 18]",Infinitely Polar Bear,6.7,2014-01-18
9.045,66,356332,[99],The Witness,6.8,2015-10-06
9.045,38,16374,"[18, 36, 10752]",Sometimes in April,7.3,2005-02-17
9.045,116,15495,"[18, 27, 53]",The Hamiltons,4.7,2006-11-19
9.043,45,471429,"[28, 35, 53, 10749]",Blue Iguana,6.3,2018-08-23
9.041,40,79931,[10402],Adele: Live at the Royal Albert Hall,7.3,2011-11-27
9.041,677,13042,"[16, 10751]",Presto,7.8,2008-06-27
9.039,593,172533,"[18, 10749]",Drinking Buddies,5.9,2013-08-23
9.038,85,44750,"[18, 35]",The Winning Season,6.3,2009-01-19
9.036,199,231474,"[12, 10770]",The Hunters,5.4,2013-10-25
9.033,80,22230,"[35, 878, 10749]",Happy Accidents,6.8,2000-01-25
9.033,120,14660,"[18, 27, 53]",Solstice,5.4,2008-01-01
9.033,177,13079,"[18, 9648, 53]",The Life Before Her Eyes,6.1,2007-09-08
9.032,90,426265,[18],Burning Sands,6.1,2017-01-24
9.031,33,475961,"[878, 18, 28]",Curvature,4.6,2017-10-08
9.031,38,294690,"[28, 18, 10752]",Saints and Soldiers: The Void,5.2,2014-08-15
9.031,384,4441,"[18, 10749]",Candy,7.1,2006-05-25
9.03,176,529531,[35],Hannah Gadsby: Nanette,8.2,2018-06-19
9.03,38,344147,"[28, 878, 12, 10770, 35, 53]",Sharktopus vs. Whalewolf,3.5,2015-07-19
9.03,100,16727,[18],The Namesake,6.7,2006-09-02
9.029,46,586044,"[35, 27, 10770]",I'm Just F*cking with You,6.1,2019-04-01
9.028,64,201847,"[53, 18]",Compulsion,4.5,2013-06-21
9.027,32,474981,"[10770, 10749, 18]",Christmas in the Air,6.3,2017-11-05
9.027,100,7861,"[35, 18, 10749]",Outsourced,6.5,2007-09-28
9.026,68,36272,"[28, 53]",Out of Reach,4.2,2004-01-01
9.023,33,149235,"[10751, 14, 10770]",Help for the Holidays,6.3,2013-12-24
9.022,181,267863,"[35, 10749]",Walking on Sunshine,6.3,2014-06-19
9.022,56,250700,[99],The Battered Bastards of Baseball,7.7,2014-01-20
9.021,82,363841,"[18, 10752, 10749]",Guernica,5.4,2016-04-26
9.02,32,26961,"[14, 27, 878]",Puppet Master: The Legacy,3.7,2003-12-16
9.019,39,592348,[35],The Trap,5.1,2019-04-01
9.019,367,339547,[27],Jeruzalem,5.3,2015-07-10
9.019,66,70009,"[9648, 53]",The River Murders,5.2,2011-06-30
9.018,69,431491,"[35, 18, 10402]",Bodied,7.6,2018-11-02
