movie,franchise
Frozen,Frozen
"Dec 17, 2014",The Hobbit
The Hobbit: The Battle of t…,The Hobbit
"Dec 13, 2013",The Hobbit
The Hobbit: The Desolation …,The Hobbit
"Dec 14, 2012",The Hobbit
The Hobbit: An Unexpected J…,The Hobbit
"Dec 22, 2028",Avatar
Avatar 5,Avatar
"Dec 18, 2026",Avatar
Avatar 4,Avatar
"Dec 20, 2024",Avatar
Avatar 3,Avatar
"Dec 16, 2022",Avatar
Avatar 2,Avatar
"Dec 18, 2009",Avatar
Avatar,Avatar
"Feb 6, 2009",Pink Panther
The Pink Panther 2,Pink Panther
"Feb 10, 2006",Pink Panther
The Pink Panther,Pink Panther
Son of the Pink Panther,Pink Panther
"Aug 12, 1983",Pink Panther
Curse of the Pink Panther,Pink Panther
"Dec 17, 1982",Pink Panther
Trail of the Pink Panther,Pink Panther
"Jul 21, 1978",Pink Panther
Revenge of the Pink Panther,Pink Panther
The Pink Panther Strikes Again,Pink Panther
The Return of the Pink Panther,Pink Panther
Inspector Clouseau,Pink Panther
A Shot in the Dark,Pink Panther
The Pink Panther,Pink Panther
"Feb 14, 2013",Die Hard
A Good Day to Die Hard,Die Hard
"Jun 27, 2007",Die Hard
Live Free or Die Hard,Die Hard
"May 19, 1995",Die Hard
Die Hard: With a Vengeance,Die Hard
"Jul 3, 1990",Die Hard
Die Hard 2,Die Hard
"Jul 15, 1988",Die Hard
Die Hard,Die Hard
"Aug 1, 2008",Mummy
The Mummy: Tomb of the Drag…,Mummy
"Apr 19, 2002",Mummy
The Scorpion King,Mummy
"May 4, 2001",Mummy
The Mummy Returns,Mummy
"May 7, 1999",Mummy
The Mummy,Mummy
"Jul 13, 1988",Dirty Harry
The Dead Pool,Dirty Harry
"Dec 9, 1983",Dirty Harry
Sudden Impact,Dirty Harry
The Enforcer,Dirty Harry
Magnum Force,Dirty Harry
Dirty Harry,Dirty Harry
"Dec 22, 2010",Meet the Parents
Little Fockers,Meet the Parents
"Dec 22, 2004",Meet the Parents
Meet the Fockers,Meet the Parents
"Oct 6, 2000",Meet the Parents
Meet the Parents,Meet the Parents
"Feb 13, 2009",Friday the 13th
Friday the 13th,Friday the 13th
"Aug 15, 2003",Friday the 13th
Freddy vs. Jason,Friday the 13th
"Apr 26, 2002",Friday the 13th
Jason X,Friday the 13th
"Aug 13, 1993",Friday the 13th
Jason Goes to Hell: The Fin…,Friday the 13th
"Jul 28, 1989",Friday the 13th
Friday the 13th Part VIII: …,Friday the 13th
"May 13, 1988",Friday the 13th
Friday the 13th Part VII: T…,Friday the 13th
"Aug 1, 1986",Friday the 13th
Friday the 13th Part VI: Ja…,Friday the 13th
"Mar 22, 1985",Friday the 13th
Friday the 13th Part V: A N…,Friday the 13th
"Apr 13, 1984",Friday the 13th
Friday the 13th Part IV: Th…,Friday the 13th
"Aug 13, 1982",Friday the 13th
Friday the 13th Part 3,Friday the 13th
"Apr 30, 1981",Friday the 13th
Friday the 13th Part 2,Friday the 13th
"May 9, 1980",Friday the 13th
Friday the 13th,Friday the 13th
"Nov 26, 2014",Madagascar
Penguins of Madagascar,Madagascar
"Jun 8, 2012",Madagascar
Madagascar 3: Europe's Most…,Madagascar
"Nov 7, 2008",Madagascar
Madagascar: Escape 2 Africa,Madagascar
"May 27, 2005",Madagascar
